chromosome_index	start_position	end_position	major_cn	minor_cn	total_cn
17	151035	4230099	2	2	4
17	4230824	4273906	2	0	2
17	4276461	4406985	2	2	4
17	4409522	10336417	2	0	2
17	10336815	11650556	2	2	4
17	11652673	16513277	2	0	2
17	16513553	18239426	2	2	4
17	18249987	19694772	2	1	3
17	19696967	21229602	2	2	4
17	21232428	21563583	3	2	5
17	21575344	21583792	2	1	3
17	21586824	21777645	2	0	2
17	22054380	37670021	2	1	3
17	37670030	37702294	1	1	2
17	37705488	37864993	3	0	3
17	37865361	40849738	2	2	4
17	40850590	58446945	2	1	3
17	58453952	63908667	3	2	5
17	63909179	76131767	2	2	4
17	76143183	80227755	4	2	6
17	80228559	83204151	2	1	3
18	64775	47922501	2	2	4
18	47925950	50440877	2	0	2
18	50441534	50484134	0	0	0
18	50575460	79408753	2	0	2
18	79410006	80256731	2	2	4
19	274479	7570704	2	0	2
19	7570803	45365389	2	2	4
19	45365391	45891982	2	0	2
19	45898740	58533199	2	2	4
20	68303	998077	6	2	8
20	1000475	2309901	5	2	7
20	2311076	5321805	7	2	9
20	5321806	8429994	5	2	7
20	8430075	9128050	7	2	9
20	9129156	10576604	5	2	7
20	10578826	13586923	7	2	9
20	13595663	14495150	5	2	7
20	14495402	15090953	3	2	5
20	15093034	15365019	5	2	7
20	15373264	15691716	3	2	5
20	15692862	17597901	5	2	7
20	17600478	64283878	2	2	4
21	13224688	46681423	2	1	3
22	15513541	16408688	2	1	3
22	16413538	18997335	2	2	4
22	19001507	25268369	2	0	2
22	25268441	25522742	4	0	4
22	25525619	32587242	2	0	2
22	32589095	41391946	2	2	4
22	41395041	50757736	2	0	2
