chromosome_index	start_position	end_position	major_cn	minor_cn	total_cn
12	3650048	43201547	1	1	2
12	43201807	43975300	2	1	3
12	43984511	52087663	1	1	2
12	52088244	52234830	2	1	3
12	52234942	87961145	1	1	2
12	87972077	88976029	2	1	3
12	88981630	106482257	1	1	2
12	106484023	112699726	2	1	3
12	112702236	124366874	3	1	4
12	124370357	126177233	4	1	5
12	126177976	126219014	4	2	6
12	126221351	126942836	3	2	5
12	126943083	133248987	3	1	4
13	18455821	20879599	1	0	1
13	20883256	21733778	2	0	2
13	21737964	43804602	1	0	1
13	43812130	43823785	2	0	2
13	43827964	72657754	1	0	1
13	72663217	77079670	2	0	2
13	77086911	77725263	3	0	3
13	77740284	114343518	2	0	2
14	19784736	32659020	1	1	2
14	32660376	37910380	2	1	3
14	37911156	38103788	1	0	1
14	38104799	55512820	2	1	3
14	55512994	56868149	3	1	4
14	56872259	61869197	2	1	3
14	61880791	106882543	1	1	2
15	19790523	28834646	2	1	3
15	28870699	29314370	2	0	2
15	29315349	32848349	1	0	1
15	32848485	57437091	1	1	2
15	57440545	58878765	2	1	3
15	58881183	62863776	1	1	2
15	62863946	62867998	2	1	3
15	62868505	81339736	1	1	2
15	81340042	101888846	2	1	3
16	34170	18810558	1	1	2
16	18811870	20306746	2	1	3
16	20309347	67564530	1	1	2
16	67591969	68246990	2	1	3
16	68261695	70646187	1	1	2
16	70647456	70756928	2	1	3
16	70758014	71708097	1	1	2
16	71711588	73384401	1	0	1
16	73384970	74680114	1	1	2
16	74685789	75079824	2	1	3
16	75082368	75643129	3	1	4
16	75651613	83734303	1	1	2
16	83735222	90096867	1	0	1
17	153794	7310375	1	1	2
17	7310516	8278649	1	0	1
17	8282584	29283579	1	1	2
17	29283844	29417117	3	1	4
17	29421159	30006367	2	1	3
17	30007692	30083306	1	0	1
17	30087841	36630232	1	1	2
17	36642729	38597579	1	0	1
17	38842489	39747958	1	1	2
17	39756124	39829548	2	1	3
17	39863888	41066246	3	1	4
17	41066704	41877828	2	1	3
17	41884877	43173473	1	0	1
17	43175604	68931279	2	1	3
17	68932674	69485091	3	1	4
17	69485813	69864066	2	1	3
17	69864353	75321429	3	1	4
17	75325036	83204151	2	1	3
18	64775	3150037	1	1	2
18	3152452	3690721	2	1	3
18	3692105	32980021	1	1	2
18	33008333	33909381	2	1	3
18	33914653	39859686	1	1	2
18	39862913	40879308	2	1	3
18	40883151	47533761	1	1	2
18	47537174	48374888	2	1	3
18	48374893	48780320	1	1	2
18	48781578	49743116	2	1	3
18	49743337	80256731	1	1	2
19	274479	8120658	1	0	1
19	8124115	24329194	1	1	2
19	27276949	28926423	5	1	6
19	28946102	29143002	1	1	2
19	29144370	29204464	5	1	6
19	29206227	29365853	29	1	30
19	29366032	29394876	39	1	40
19	29395122	29402378	39	2	41
19	29409939	29457006	19	1	20
19	29458031	29741636	7	1	8
19	29743046	30537370	6	1	7
19	30544460	39041109	1	0	1
19	39043022	39046755	2	0	2
19	39047459	45615103	1	0	1
19	45627922	49618017	3	0	3
19	49632177	50785349	2	0	2
19	50786601	50957874	3	0	3
19	50970985	58533199	2	0	2
20	68303	28917500	1	0	1
20	28920305	64283878	1	1	2
21	13224688	36967801	1	1	2
21	36968048	36984537	1	0	1
21	36985975	38469476	1	1	2
21	38472865	41477170	1	0	1
21	41477315	41487295	2	0	2
21	41487949	41653240	2	1	3
21	41653781	43034905	1	1	2
21	43188671	46681423	1	0	1
22	15513541	26147321	1	1	2
22	26154573	31701789	2	1	3
22	31708681	40343410	1	0	1
22	40345340	42253503	2	0	2
22	42254657	50757736	1	0	1
